timestamp,ARIMA,SARIMA,SARIMAX
2025-10-09 20:00:00,2.612497296385974e-10,4.1095506805128155,3.5660620466395483
2025-10-09 20:30:00,2.4327550921634063e-10,4.326321675786784,3.8570052684691167
2025-10-09 21:00:00,2.2653793160414457e-10,4.109226317746169,3.5344073216736387
2025-10-09 21:30:00,2.1095191464524532e-10,4.217576695242112,3.977652496031707
2025-10-09 22:00:00,1.9643822991310793e-10,4.434421162941418,4.017016243462892
2025-10-09 22:30:00,1.8292309996943082e-10,4.4343348928157535,3.702127241296548
2025-10-09 23:00:00,1.7033782333116824e-10,3.6749459321899725,3.304216990478568
2025-10-09 23:30:00,1.586184252401644e-10,3.6748856479789618,3.3042169939143005
2025-10-10 00:00:00,0.0,0.0,0.0
2025-10-10 00:30:00,0.0,0.0,0.0
2025-10-10 01:00:00,0.0,0.0,0.0
2025-10-10 01:30:00,0.0,0.0,0.0
2025-10-10 02:00:00,0.0,0.0,0.0
2025-10-10 02:30:00,0.0,0.0,0.0
2025-10-10 03:00:00,0.0,0.0,0.0
2025-10-10 03:30:00,0.0,0.0,0.0
2025-10-10 04:00:00,0.0,0.0,0.0
2025-10-10 04:30:00,0.0,0.0,0.0
2025-10-10 05:00:00,0.0,0.0,0.0
2025-10-10 05:30:00,0.0,0.0,0.0
2025-10-10 06:00:00,0.0,0.0,0.0
2025-10-10 06:30:00,0.0,0.0,0.0
2025-10-10 07:00:00,0.0,0.0,0.0
2025-10-10 07:30:00,0.0,0.0,0.0
2025-10-10 08:00:00,0.0,0.0,0.0
2025-10-10 08:30:00,0.0,0.0,0.0
2025-10-10 09:00:00,0.0,0.0,0.0
2025-10-10 09:30:00,0.0,0.0,0.0
2025-10-10 10:00:00,0.0,0.0,0.0
2025-10-10 10:30:00,0.0,0.0,0.0
2025-10-10 11:00:00,0.0,0.0,0.0
2025-10-10 11:30:00,0.0,0.0,0.0
2025-10-10 12:00:00,0.0,0.0,0.0
2025-10-10 12:30:00,0.0,0.0,0.0
2025-10-10 13:00:00,0.0,0.0,0.0
2025-10-10 13:30:00,0.0,0.0,0.0
2025-10-10 14:00:00,0.0,0.0,0.0
2025-10-10 14:30:00,0.0,0.0,0.0
2025-10-10 15:00:00,0.0,0.0,0.0
2025-10-10 15:30:00,0.0,0.0,0.0
2025-10-10 16:00:00,0.0,0.0,0.0
2025-10-10 16:30:00,0.0,0.0,0.0
2025-10-10 17:00:00,0.0,0.0,0.0
2025-10-10 17:30:00,0.0,0.0,0.0
2025-10-10 18:00:00,0.0,0.0,0.0
2025-10-10 18:30:00,0.0,0.0,0.0
2025-10-10 19:00:00,0.0,0.0,0.0
2025-10-10 19:30:00,0.0,0.0,0.0
2025-10-10 20:00:00,0.0,0.0,0.0
2025-10-10 20:30:00,0.0,0.0,0.0
2025-10-10 21:00:00,0.0,0.0,0.0
2025-10-10 21:30:00,0.0,0.0,0.0
2025-10-10 22:00:00,0.0,0.0,0.0
2025-10-10 22:30:00,0.0,0.0,0.0
2025-10-10 23:00:00,0.0,0.0,0.0
2025-10-10 23:30:00,0.0,0.0,0.0
2025-10-11 00:00:00,0.0,0.0,0.0
2025-10-11 00:30:00,0.0,0.0,0.0
2025-10-11 01:00:00,0.0,0.0,0.0
2025-10-11 01:30:00,0.0,0.0,0.0
2025-10-11 02:00:00,0.0,0.0,0.0
2025-10-11 02:30:00,0.0,0.0,0.0
2025-10-11 03:00:00,0.0,0.0,0.0
2025-10-11 03:30:00,0.0,0.0,0.0
2025-10-11 04:00:00,0.0,0.0,0.0
